County,Location Name,Address,Notes,Hours,Latitude,Longitude
Appling,Elections Office ,"83 South Oak Street Baxley, GA 31513 ",,On curb outside office so driver doesn't have to get out of car 24/7,31.7761805,-82.3452206
Appling,Courthouse Annex,"69 Tippins Street Baxley, GA 31513 ",,"Outside, 24/7",31.7778415,-82.3502327
Atkinson,Elections Office ,"636 Austin Avenue E Pearson, GA 31602 ",,Note: This Dropbox may not be open 24/7,31.2926525,-82.8425087
Bacon,Elections Office ,"232 W 12th Street Alma, GA 31510 ",Note: This Dropbox may not be open 24/7,"M-F 9-5, Ballots & Applications both accepted - separate box for applications on top of ballot dropbox",31.5413592,-82.464885
Baker,Elections Office ,"167 Baker Place Newton, GA 39870 ",,24/7 outside the courthouse,31.317666,-84.3412951
Baldwin,Elections Office ,"1601 N. Columbia, Suite 110 Milledgeville, GA 31061 ",,"Installed outside the new office, 24/7",33.098832,-83.243047
Baldwin,Courthouse,"121 N Wilkinson St, Suite 102 Milledgeville, GA 31061 ",,,33.0815124,-83.2286005
Banks,Banks Elections office dropoff,"226 Candler Street Homer, GA 30547 ",,"24/7, Candler runs off the main road through Homer, go up the hill and will see the office",34.335437,-83.4974345
Barrow,"Elections Office, Administration Annex","233 E. Broad St Winder, GA 30680 ",,"24/7, outside the office. Ballots and applications may also be dropped off at this location inside the office, M-F, 8-5.",33.9977319,-83.7093691
Bartow,Elections Office ,"1300 Joe Frank Harris Pkwy Cartersville, GA 30120 ",,"24/7; Ballots and applications may also be dropped off at this location inside the office, M-F, 8-5",34.2062407,-84.8141196
Bartow,Bartow County Courthouse,"135 W Cherokee Ave Cartersville, GA 30120 ",,24/7,34.1658417,-84.7997289
Bartow,Allatoona Resource Center,"6503 Glade Rd SE Acworth, GA 30102 ",,24/7,34.1137254,-84.681162
Bartow,Euharlee City Hall,"30 Burge's Mill Rd Euharlee, GA 30145 ",,24/7,34.1471996,-84.9369558
Bartow,Manning Hill Gym,"163 Manning Mill Road Adairsville, GA 30103 ",,24/7,34.3457503,-84.9003887
Ben Hill,,"115 W Pine St Fitzgerald, GA 31750 ",Note: This Dropbox may not be open 24/7,Can drop off in the Elections office. ,31.7137885,-83.2552529
Berrien,Elections Office ,"201 N Davis St, Room 142 Nashville, GA 31639 ",Note: This Dropbox may not be open 24/7,M-F 8-4:30 Can call ahead and someone will come pick up from them or can leave with security officer who will all for someone to come pick up the ballot,31.2084994,-83.2494298
Bibb,Elections Office ,"2525 Pio Nono Avenue, Suite 1200 Macon, GA 31206 ",Note: This Dropbox may not be open 24/7,Inside the office there is a separate box for applications and one for ballots; M-F 8:30-5:30,32.8114278,-83.6659271
Bibb,Elections Office ,"2525 Pio Nono Avenue, Suite 1200 Macon, GA 31206 ",,"Outside, 24/7, ballots only",32.8114278,-83.6659271
Bibb,Courthouse Annex,"639 Mulberry Street Macon, GA 31201 ",,24/7. Does accept applications,32.8386535,-83.6283497
Bleckley,County Court House,"112 N Second St Cochran, GA 31014 ",Note: This Dropbox may not be open 24/7,In parking lot near police department - 24/7,32.3875693,-83.355355
Brantley,Elections Office ,"10305 N Main St Ste 400 Nahunta, GA 31553 ",Note: This Dropbox may not be open 24/7,"Drop box is on the door to office. Big orange sign that says ""dropbox."" Built into the door. Drop the ballot through the slot and it goes into the locked box. Available 24/7.",31.2094192,-81.9799613
Brooks,Elections Office ,"610 S. Highland Rd. Quitman, GA 31643 ",,24/7,30.7798113,-83.5521956
Bryan,Pembroke County Courthouse,"151 S. College St. Pembroke, GA 31321 ",,24/7,32.1334622,-81.6214468
Bryan,Richmond Hill Center at Bryan County Administration Office,"66 Matthew Freeman Dr. Richmond Hill, GA 31324 ",,,31.8811648,-81.2598689
Bulloch,Elections Office (1),"113 North Main Street, Suite 201 Statesboro, GA 30458 ",Note: This Dropbox may not be open 24/7,"Located in lobby of annex building. These are boxes that they have bolted to a table in the back of the annex building. Available during hours building is open, M-F, 8-5",32.4519474,-81.7835295
Bulloch,Elections Office (2),"113 North Main Street, Suite 201 Statesboro, GA 30458 ",,"Located in parking lot of office, 24/7",32.4519474,-81.7835295
Burke,Elections Office ,"602 North Liberty Street, Room 104 Waynesboro, GA 30830 ",Note: This Dropbox may not be open 24/7,"M-F 9-5 and early voting day Oct 24, 9 - 4",33.090532,-82.01549
Butts,Elections Office ,"625 West Third Street Jackson, GA 30233 ",,"Outside, just in front of building. 24/7",33.293442,-83.9730207
Calhoun,,"31 Court Street, Suite A Morgan, GA 39866 ",,Located on south side of courthouse wall.,31.5376621,-84.5996693
Camden,,"200 E 4th St Woodbine, GA 31569 ",Note: This Dropbox may not be open 24/7,M-F 8-5,30.9683435,-81.7207486
Camden,,"107 Gross Rd Kingsland, GA 31548 ",Note: This Dropbox may not be open 24/7,"M-F 9-5, closed 12:30-1:30",30.7890356,-81.644302
Candler,Elections Office ,"1075 E Hiawatha Street, Ste A Metter, GA 30439 ",Note: This Dropbox may not be open 24/7,"M-F, 9-5",32.3914167,-82.0380196
Carroll,Elections Office ,"423 College Street, Room 302 Carrollton, GA 30117 ",,Back of the building,33.5841753,-85.0718445
